STABR,LIBNAME,ADDRESS,CITY,ZIP,CNTY,C_OUT_TY,HOURS,LONGITUD,LATITUDE
ME,PITTSFIELD PUBLIC LIBRARY,110 LIBRARY STREET,PITTSFIELD,4967,SOMERSET,CE,2126,-69.3834211,44.7822277
ME,RICKER MEMORIAL LIBRARY,1211 MAINE STREET,POLAND,4274,ANDROSCOGGIN,CE,2600,-70.394817,44.0617587
ME,PORTLAND PUBLIC LIBRARY,5 MONUMENT SQUARE,PORTLAND,4101,CUMBERLAND,CE,4506,-70.2588163,43.657728
ME,PORTLAND - PEAKS ISLAND BRANCH LIBRARY,129 ISLAND AVENUE,PEAKS ISLAND,4108,CUMBERLAND,BR,-1,-70.1985516,43.6582939
ME,PORTLAND - RIVERTON BRANCH LIBRARY,1600 FOREST AVENUE,PORTLAND,4103,CUMBERLAND,BR,-1,-70.3076301,43.697233
ME,PORTLAND - BURBANK BRANCH LIBRARY,377 STEVENS AVENUE,PORTLAND,4103,CUMBERLAND,BR,-1,-70.2950075,43.6712902
ME,PORTLAND PUBLIC PORTABLE LIBRARY,1600 FOREST AVENUE,PORTLAND,4103,CUMBERLAND,BS,-1,-70.3076301,43.697233
ME,MARK AND EMILY TURNER MEMORIAL LIBRARY,39 SECOND STREET,PRESQUE ISLE,4769,AROOSTOOK,CE,2912,-68.0141547,46.6808997
ME,PRINCETON PUBLIC LIBRARY,40 MAIN STREET,PRINCETON,4668,WASHINGTON,CE,1092,-67.5740758,45.2238871
ME,RANGELEY PUBLIC LIBRARY,7 LAKE STREET,RANGELEY,4970,FRANKLIN,CE,1690,-70.6430223,44.9644773
ME,READFIELD COMMUNITY LIBRARY,1151 MAIN STREET,READFIELD,4355,KENNEBEC,CE,1144,-69.9673297,44.3880118
ME,ROCKLAND PUBLIC LIBRARY,80 UNION ST.,ROCKLAND,4841,KNOX,CE,2467,-69.1114272,44.1054662
ME,ROCKPORT PUBLIC LIBRARY,1 LIMEROCK STREET,ROCKPORT,4856,KNOX,CE,2674,-69.0814901,44.1688493
ME,RUMFORD PUBLIC LIBRARY,56 RUMFORD AVE.,RUMFORD,4276,OXFORD,CE,2132,-70.5493443,44.5470598
ME,DYER LIBRARY,371 MAIN STREET,SACO,4072,YORK,CE,2392,-70.442126,43.501665
ME,JACKSON MEMORIAL LIBRARY,71 MAIN STREET,TENANTS HARBOR,4860,KNOX,CE,1768,-69.2150261,43.9668682
ME,GOODALL MEMORIAL LIBRARY,952 MAIN STREET,SANFORD,4073,YORK,CE,2652,-70.7731244,43.4362093
ME,SPRINGVALE PUBLIC LIBRARY,443 MAIN STREET,SPRINGVALE,4083,YORK,CE,2418,-70.7985656,43.4671479
ME,SCARBOROUGH PUBLIC LIBRARY,48 GORHAM ROAD,SCARBOROUGH,4074,CUMBERLAND,CE,2672,-70.3362073,43.5977473
ME,CARVER MEMORIAL LIBRARY,12 UNION STREET,SEARSPORT,4974,WALDO,CE,1575,-68.9225037,44.4603349
ME,SPAULDING MEMORIAL LIBRARY,282 SEBAGO ROAD,SEBAGO,4029,CUMBERLAND,CE,1080,-70.6387753,43.8548742
ME,SHAPLEIGH COMMUNITY LIBRARY,607 SHAPLEIGH CORNER ROAD,SHAPLEIGH,4076,YORK,CE,819,-70.8481294,43.5408114
ME,SHERMAN PUBLIC LIBRARY,9 CHURCH STREET,SHERMAN,4776,AROOSTOOK,CE,520,-68.3849234,45.8730897
ME,SKOWHEGAN FREE PUBLIC LIBRARY,9 ELM STREET,SKOWHEGAN,4976,SOMERSET,CE,1924,-69.7206528,44.765828
ME,COOLIDGE LIBRARY,17 SOUTH MAIN STREET,SOLON,4979,SOMERSET,CE,1000,-69.8587341,44.9489848
ME,SOUTH BERWICK PUBLIC LIBRARY,27 YOUNG STREET,SOUTH BERWICK,3908,YORK,CE,1820,-70.8107613,43.2348742
ME,RUTHERFORD LIBRARY,2000 STATE ROUTE 129,SOUTH BRISTOL,4568,LINCOLN,CE,1040,-69.5609625,43.870235
ME,SOUTH PORTLAND PUBLIC LIBRARY,482 BROADWAY,SOUTH PORTLAND,4106,CUMBERLAND,CE,4108,-70.2485938,43.6357762
ME,SOUTH PORTLAND - MEMORIAL BRANCH LIBRARY,155 WESCOTT ROAD,SOUTH PORTLAND,4106,CUMBERLAND,BR,1196,-70.3048895,43.6269291
ME,SOUTHWEST HARBOR PUBLIC LIBRARY,338 MAIN STREET,SOUTHWEST HARBOR,4679,HANCOCK,CE,2235,-68.3260869,44.2801691
ME,STEEP FALLS LIBRARY,1128 PEQUAWKET TRAIL,STEEP FALLS,4085,CUMBERLAND,CE,1456,-70.6501369,43.7926323
ME,STETSON PUBLIC LIBRARY,70 VILLAGE ROAD,STETSON,4488,PENOBSCOT,CE,936,-69.136989,44.8928086
ME,HENRY D. MOORE LIBRARY,22 VILLAGE ROAD,STEUBEN,4680,WASHINGTON,CE,1456,-67.961454,44.5110266
ME,STONINGTON PUBLIC LIBRARY,64 MAIN STREET,STONINGTON,4681,HANCOCK,CE,1144,-68.6632777,44.1562097
ME,FRENCHMANS BAY LIBRARY,1776 US HIGHWAY 1,SULLIVAN,4664,HANCOCK,CE,690,-68.2241866,44.5298342
ME,THOMASTON PUBLIC LIBRARY,60 MAIN STREET,THOMASTON,4861,KNOX,CE,1938,-69.1758065,44.0801704
ME,TOPSHAM PUBLIC LIBRARY,25 FORESIDE ROAD,TOPSHAM,4086,SAGADAHOC,CE,2912,-69.9481918,43.9250721
ME,BASS HARBOR MEMORIAL LIBRARY,89 BERNARD ROAD,BERNARD,4612,HANCOCK,CE,1820,-68.3561332,44.2419469
ME,TURNER PUBLIC LIBRARY,98 MATTHEWS WAY,TURNER,4282,ANDROSCOGGIN,CE,1404,-70.2256078,44.2708261
ME,VOSE LIBRARY,392 COMMON ROAD,UNION,4862,KNOX,CE,1218,-69.2715481,44.2122496
ME,ABEL J. MORNEAULT MEMORIAL LIBRARY,153 MAIN STREET,VAN BUREN,4785,AROOSTOOK,CE,1612,-67.9399053,47.1601983
ME,VASSALBORO PUBLIC LIBRARY,930 BOG ROAD,EAST VASSALBORO,4935,KENNEBEC,CE,1248,-69.60843,44.4478818
ME,VINALHAVEN PUBLIC LIBRARY,6 CARVER STREET,VINALHAVEN,4863,KNOX,CE,1522,-68.8311726,44.0483857
